bande sur 30 graines, niveau de service 95%  (0.1 s)

genou : mediane 123 ops, bande 109 a 131  (30/30 graines atteignent le seuil)

N     acceptees p10/med/p90     retard_moy_min p10/med/p90
10    10 / 10 / 10            0.00 / 0.15 / 0.30
20    20 / 20 / 20            0.15 / 0.38 / 0.61
40    40 / 40 / 40            0.74 / 1.03 / 1.63
60    60 / 60 / 60            1.70 / 1.95 / 2.42
80    79 / 80 / 80            2.89 / 3.30 / 3.67
100   97 / 99 / 100           4.11 / 4.56 / 4.86
120   111 / 115 / 117         5.35 / 5.63 / 5.94
140   123 / 126 / 130         6.23 / 6.52 / 6.78
160   130 / 135 / 140         6.95 / 7.20 / 7.48
